Unnamed: 0,panoid,lat,lon,year,month,img_path,angle,type,img_name,conf,bbox
36,IMG_7814,-1.3126277777777775,36.87094444444445,2023,2,Used/,,Self,IMG_7814,[0.7073689699172974],"[[1410.309814453125, 2866.137939453125, 3024.0, 3622.160400390625]]"
76,IMG_7829,-1.3121222222222222,36.87036111111111,2023,2,Used/,,Self,IMG_7829,"[0.48911479115486145, 0.46020764112472534, 0.2603490650653839]","[[1023.4224243164062, 1789.8680419921875, 3053.645751953125, 3024.0], [3401.654052734375, 1752.25244140625, 4025.3056640625, 3019.709716796875], [2405.968017578125, 1780.7939453125, 3188.053466796875, 2152.369384765625]]"
77,IMG_7801,-1.31275,36.87213611111111,2023,2,Used/,,Self,IMG_7801,"[0.3955996036529541, 0.3374100625514984, 0.29494524002075195]","[[10.367467880249023, 5.576330184936523, 4024.499267578125, 2142.672119140625], [38.95702362060547, 4.890920639038086, 4014.424072265625, 1295.27783203125], [73.23749542236328, 827.742431640625, 4032.0, 2310.466552734375]]"
117,IMG_8488,-1.2784555555555557,37.036544444444445,2023,2,Used/,,Self,IMG_8488,"[0.44633373618125916, 0.3695032596588135, 0.3311441242694855, 0.31117933988571167]","[[318.666015625, 1794.4901123046875, 4026.871826171875, 2682.952880859375], [0.3006957769393921, 2002.6181640625, 1806.4549560546875, 2886.1708984375], [1781.979736328125, 1770.1337890625, 4022.621826171875, 2599.883544921875], [1927.6552734375, 1748.66015625, 4004.59814453125, 2252.341064453125]]"
156,IMG_7803,-1.312738888888889,36.87212777777778,2023,2,Used/,,Self,IMG_7803,"[0.7000468373298645, 0.43124920129776, 0.3883921205997467]","[[38.42100143432617, 1754.552978515625, 3969.56201171875, 3024.0], [1819.1710205078125, 1192.3878173828125, 3376.50146484375, 1679.92529296875], [0.0, 1288.5369873046875, 1364.7547607421875, 1911.27490234375]]"
171,IMG_7630,-1.3120805555555557,36.850947222222224,2023,2,Used/,,Self,IMG_7630,"[0.5774234533309937, 0.5351155400276184]","[[0.0, 1607.4906005859375, 3521.56591796875, 2245.2001953125], [0.0, 1754.63525390625, 1970.93701171875, 2298.065185546875]]"
194,IMG_7816,-1.312186111111111,36.87022777777778,2023,2,Used/,,Self,IMG_7816,"[0.7148358821868896, 0.6324650645256042, 0.3194150924682617]","[[0.0, 1461.03271484375, 1505.813232421875, 3024.0], [2145.196044921875, 1250.8358154296875, 2719.142822265625, 1818.2437744140625], [554.73779296875, 1552.1365966796875, 1411.097900390625, 1769.8011474609375]]"
195,IMG_7802,-1.3127472222222225,36.87213055555556,2023,2,Used/,,Self,IMG_7802,"[0.37289828062057495, 0.3156052529811859]","[[10.118682861328125, 0.0, 4024.318603515625, 2033.3548583984375], [36.14655685424805, 2.693572759628296, 4014.890869140625, 1279.6063232421875]]"
230,IMG_6473,-1.306361111111111,36.783763888888885,2023,2,Used/,,Self,IMG_6473,"[0.5713006854057312, 0.46321046352386475, 0.3092683255672455]","[[485.0696105957031, 2438.872802734375, 2485.801025390625, 3021.336669921875], [0.0, 2483.375732421875, 2891.705078125, 3012.4326171875], [0.0, 2502.020751953125, 1936.7015380859375, 3017.74365234375]]"
232,IMG_7792,-1.3132666666666668,36.87263611111111,2023,2,Used/,,Self,IMG_7792,[0.2791621685028076],"[[0.0, 1462.2655029296875, 2860.19384765625, 2968.859130859375]]"
233,IMG_8489,-1.2784027777777778,37.035980555555554,2023,2,Used/,,Self,IMG_8489,"[0.5943123698234558, 0.49068084359169006]","[[2117.353271484375, 2009.5301513671875, 4024.427734375, 2382.1279296875], [45.38352966308594, 1849.3033447265625, 3987.785888671875, 2634.274658203125]]"
261,river,-1.3186027777777778,36.793952777777776,2023,2,Used/,,Self,river,"[0.5426275730133057, 0.2945382595062256, 0.2745833396911621]","[[43.95042037963867, 2508.162841796875, 4032.0, 3008.6474609375], [568.049072265625, 2036.5048828125, 3242.435791015625, 2383.970703125], [56.53849792480469, 1915.8787841796875, 4032.0, 2406.08447265625]]"
274,IMG_7806,-1.3127833333333334,36.87211666666667,2023,2,Used/,,Self,IMG_7806,"[0.7433032393455505, 0.5939459204673767, 0.5564457178115845, 0.40711769461631775, 0.3217509984970093]","[[3.769848346710205, 1626.502685546875, 1606.646728515625, 2011.3087158203125], [2221.124755859375, 2399.33251953125, 4032.0, 3024.0], [2273.630859375, 1859.7864990234375, 4032.0, 2339.8408203125], [0.0, 1652.1837158203125, 1549.370849609375, 1926.1776123046875], [1544.26513671875, 2439.14501953125, 4021.61767578125, 3000.389404296875]]"
275,IMG_7812,-1.3127472222222225,36.87166666666667,2023,2,Used/,,Self,IMG_7812,[0.7812749743461609],"[[26.89996910095215, 1933.42236328125, 2407.97314453125, 3024.0]]"
